2025-07-02 11:27:01.345652 | BOOKED | AI505 | AE1234567
2025-07-02 11:33:50.862438 | BOOKED | IX202 | RT4567890
2025-07-02 12:07:01.566758 | BOOKED | AI101 | AS2134567
2025-07-02 12:07:25.597696 | BOOKED | AI101 | FG4567890
2025-07-02 12:07:47.149535 | BOOKED | AI101 | CF1234567
2025-07-02 12:08:13.028798 | BOOKED | AI101 | CG2345678
2025-07-02 12:08:34.835708 | BOOKED | AI101 | GH4567890
2025-07-02 12:09:06.643049 | WAITLISTED | AI101 | JK7654321
2025-07-02 12:09:42.071148 | WAITLISTED | AI101 | TG4567321
2025-07-02 12:10:39.693544 | CANCELLED | AI101 | AS2134567
2025-07-02 12:11:41.501920 | WAITLISTED | AI101 | AG1234567
2025-07-02 12:14:32.554796 | BOOKED | AI101 | AG1234567
2025-07-02 12:35:38.763654 | CANCELLED | AI101 | GH5678909
2025-07-02 14:21:56.303858 | CANCELLED | AI101 | AG1234567
